0: {'eps': 1.0, 'loss': 0.032808613032102585, 'states_visited': 16, 'avg_traj_length': 6.5, 'avg_reward': 0.34474998712539673, 'max_traj_length': 28.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00047783105401322246}
100: {'eps': 0.988065780494209, 'loss': 0.0155634181573987, 'states_visited': 1616, 'avg_traj_length': 3.5625, 'avg_reward': 0.31349998712539673, 'max_traj_length': 9.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045994273386895657}
200: {'eps': 0.9811700348643991, 'loss': 0.007348602171987295, 'states_visited': 3216, 'avg_traj_length': 4.125, 'avg_reward': 0.25099998712539673, 'max_traj_length': 11.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004597582155838609}
300: {'eps': 0.9694605362958227, 'loss': 0.01249025110155344, 'states_visited': 4816, 'avg_traj_length': 4.875, 'avg_reward': 0.28224998712539673, 'max_traj_length': 12.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045890206820331514}
400: {'eps': 0.9578907814534664, 'loss': 0.006615124177187681, 'states_visited': 6416, 'avg_traj_length': 5.875, 'avg_reward': 0.25099998712539673, 'max_traj_length': 16.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045858751400373876}
500: {'eps': 0.9445671308589195, 'loss': 0.007429447490721941, 'states_visited': 8016, 'avg_traj_length': 3.875, 'avg_reward': 0.40724998712539673, 'max_traj_length': 19.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004581155953928828}
600: {'eps': 0.9370369888620198, 'loss': 0.0803459957242012, 'states_visited': 9616, 'avg_traj_length': 4.6875, 'avg_reward': 0.40724995732307434, 'max_traj_length': 12.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00045796038466505706}
700: {'eps': 0.9286373107007023, 'loss': 0.010022986680269241, 'states_visited': 11216, 'avg_traj_length': 5.0, 'avg_reward': 0.25099998712539673, 'max_traj_length': 16.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045780555228702724}
800: {'eps': 0.9157205572498949, 'loss': 0.013426768593490124, 'states_visited': 12816, 'avg_traj_length': 3.5, 'avg_reward': 0.28224998712539673, 'max_traj_length': 10.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004575563652906567}
900: {'eps': 0.9011784036598737, 'loss': 0.008017919957637787, 'states_visited': 14416, 'avg_traj_length': 5.3125, 'avg_reward': 0.25099998712539673, 'max_traj_length': 18.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045711733400821686}
1000: {'eps': 0.8922070646990518, 'loss': 0.011337005533277988, 'states_visited': 16016, 'avg_traj_length': 6.25, 'avg_reward': 0.25099998712539673, 'max_traj_length': 28.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004569593002088368}
1100: {'eps': 0.8806777104745716, 'loss': 0.007270112633705139, 'states_visited': 17616, 'avg_traj_length': 4.4375, 'avg_reward': 0.37599998712539673, 'max_traj_length': 23.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004566511488519609}
1200: {'eps': 0.8692973418545467, 'loss': 0.00520738959312439, 'states_visited': 19216, 'avg_traj_length': 4.75, 'avg_reward': 0.37599998712539673, 'max_traj_length': 25.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004563144175335765}
1300: {'eps': 0.8589229565610536, 'loss': 0.008845209144055843, 'states_visited': 20816, 'avg_traj_length': 3.875, 'avg_reward': 0.31349998712539673, 'max_traj_length': 11.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045608042273670435}
1400: {'eps': 0.8537822855004553, 'loss': 0.007786364760249853, 'states_visited': 22416, 'avg_traj_length': 2.5, 'avg_reward': 0.43849998712539673, 'max_traj_length': 13.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045593027607537806}
1500: {'eps': 0.8427494672348417, 'loss': 0.012342721223831177, 'states_visited': 24016, 'avg_traj_length': 2.375, 'avg_reward': 0.43849998712539673, 'max_traj_length': 7.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045568018686026335}
