0: {'eps': 1.0, 'gfn_loss': 8.007307052612305, 'ql_loss': 0.036934804171323776, 'states_visited': 16, 'avg_traj_length': 5.4375, 'avg_reward': 0.25999999046325684, 'max_traj_length': 17.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.000479412788990885}
100: {'eps': 0.9910359161258742, 'gfn_loss': 2.356191873550415, 'ql_loss': 0.0034612230956554413, 'states_visited': 1616, 'avg_traj_length': 6.25, 'avg_reward': 0.25999999046325684, 'max_traj_length': 21.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00045617882278747857}
200: {'eps': 0.9782294672887405, 'gfn_loss': 2.0257692337036133, 'ql_loss': 0.0989195927977562, 'states_visited': 3216, 'avg_traj_length': 5.3125, 'avg_reward': 0.38499999046325684, 'max_traj_length': 15.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.000449661398306489}
300: {'eps': 0.9655885070369844, 'gfn_loss': 0.693772554397583, 'ql_loss': 0.0070580183528363705, 'states_visited': 4816, 'avg_traj_length': 4.9375, 'avg_reward': 0.32249999046325684, 'max_traj_length': 18.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00044572603655979037}
400: {'eps': 0.9521577859830145, 'gfn_loss': 1.3328003883361816, 'ql_loss': 0.008390447124838829, 'states_visited': 6416, 'avg_traj_length': 4.6875, 'avg_reward': 0.29124999046325684, 'max_traj_length': 19.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00044160435209050775}
500: {'eps': 0.9417362622231683, 'gfn_loss': 0.9741058349609375, 'ql_loss': 0.007348333951085806, 'states_visited': 8016, 'avg_traj_length': 4.8125, 'avg_reward': 0.19749999046325684, 'max_traj_length': 12.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.000438409682828933}
600: {'eps': 0.9314288037569908, 'gfn_loss': 1.0483225584030151, 'ql_loss': 0.004835848696529865, 'states_visited': 9616, 'avg_traj_length': 5.6875, 'avg_reward': 0.16624999046325684, 'max_traj_length': 13.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004354478442110121}
700: {'eps': 0.9193926150309796, 'gfn_loss': 1.0696841478347778, 'ql_loss': 0.008925853297114372, 'states_visited': 11216, 'avg_traj_length': 5.125, 'avg_reward': 0.25999999046325684, 'max_traj_length': 14.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004331188683863729}
800: {'eps': 0.9066044494080763, 'gfn_loss': 1.2195541858673096, 'ql_loss': 0.009225753135979176, 'states_visited': 12816, 'avg_traj_length': 4.75, 'avg_reward': 0.25999999046325684, 'max_traj_length': 12.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004310330841690302}
900: {'eps': 0.8913148576343527, 'gfn_loss': 1.0796685218811035, 'ql_loss': 0.012386398389935493, 'states_visited': 14416, 'avg_traj_length': 4.0625, 'avg_reward': 0.35374999046325684, 'max_traj_length': 17.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004285704344511032}
1000: {'eps': 0.8824417114557717, 'gfn_loss': 1.258373498916626, 'ql_loss': 0.011060697957873344, 'states_visited': 16016, 'avg_traj_length': 4.0, 'avg_reward': 0.32249999046325684, 'max_traj_length': 14.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00042669835966080427}
1100: {'eps': 0.8684280445126921, 'gfn_loss': 1.0603621006011963, 'ql_loss': 0.007827441208064556, 'states_visited': 17616, 'avg_traj_length': 6.125, 'avg_reward': 0.19749999046325684, 'max_traj_length': 26.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00042482936987653375}
1200: {'eps': 0.8503722756378911, 'gfn_loss': 0.7210958003997803, 'ql_loss': 0.009489351883530617, 'states_visited': 19216, 'avg_traj_length': 4.5625, 'avg_reward': 0.22874999046325684, 'max_traj_length': 11.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00042287851101718843}
1300: {'eps': 0.8427494672348417, 'gfn_loss': 2.085385322570801, 'ql_loss': 0.10281825810670853, 'states_visited': 20816, 'avg_traj_length': 4.5625, 'avg_reward': 0.47874999046325684, 'max_traj_length': 11.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0004217131936457008}
1400: {'eps': 0.831859218194368, 'gfn_loss': 1.0127705335617065, 'ql_loss': 0.009624931029975414, 'states_visited': 22416, 'avg_traj_length': 6.1875, 'avg_reward': 0.25999999046325684, 'max_traj_length': 23.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00042161293094977736}
